Cd_historico	Descricao	Cd_tipo	Historico_conta	Cd_historico_li	Ativo	Sessao	Usuario_modific	Usuario_criacao	Dt_modificacao	Campo11	Campo12	Campo13	Campo14	campo15	campo16	campo17	campo18	campo19	campo20	campo21	campo22	campo23	campo24	campo25	campo26	campo27	campo28	campo29	campo30	campo31	campo32	campo33	campo34	campo35	campo36	campo37	campo38	usrhist1	usrhist2	usrhist3	usrhist4	usrhist5
   	=> INFORMAR HISTORICO                   	R	110   	   	1	63251	A00	A00	2011-09-22 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C01	CHEQUE RECEBER COMPENSAR                	R	      	C10	1	31129	A00	A00	2013-11-08 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C02	CHEQUE RECEBER PRE DT. COMPENSAR        	R	      	C10	1	31803	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C03	ESTORNO CHEQUE RECEBER DEVOLVIDO        	S	      	C50	1	31783	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	D	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C04	REAPRES. CHEQUE RECEBER DEVOLVIDO       	R	      	C10	1	55911	A00	A00	2013-09-04 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C05	CHEQUE PAGAR COMPENSAR                  	P	      	C11	1	31735	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C10	CHEQUE RECEBER COMPENSADO               	E	      	   	1	34515	A00	A00	2013-06-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C11	CHEQUE PAGAR COMPENSADO                 	S	      	   	1	34534	A00	A00	2013-06-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
C50	CHEQUE COMPENSADO                       	E	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E01	RECEBTO REF - VENDA                     	E	301   	   	1	41485	A00	A00	2010-08-20 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E02	RECEBTO REF - CONTRATO                  	E	      	   	1	60697	A01	A01	2011-09-12 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E03	RECEBTO REF - SERVICO                   	E	301   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E10	RECEBTO REF - ALUGUEL                   	E	      	R10	1	60712	A01	A01	2011-09-12 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E11	RECEBTO REF - ADIANTAMENTO ALUGUEL      	E	      	   	1	34589	A00	A00	2013-11-08 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E12	RECEBTO REF - JUROS RECEBIDOS           	E	381   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E13	RECEBTO REF - DESCONTOS OBTIDOS         	E	382   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E30	RECEBTO REF - REEMBOLSO                 	E	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E31	RECEBTO REF - ESTORNO                   	E	      	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E32	RECEBTO REF - EMPRESTIMO                	E	      	   	1	60433	A00	A00	2014-07-22 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E57	RECEBTO REF - ADIANT DE CLIENTES        	E	357   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	V	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E90	RECEBTO REF - DEVOLUCAO DE COMPRAS      	E	      	   	1	31742	A01	A01	2011-09-13 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E92	RECEBTO REF - RENDIMENTO DE APLICACAO   	E	      	   	1	40836	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E95	RECEBTO REF - RESGATE                   	E	      	   	1	40728	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E96	RECEBTO REF - APLICACAO                 	E	      	   	1	40613	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E98	RECEBTO REF - UNIFICAÇÃO                	E	      	   	1	40470	DSM	DSM	2013-12-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	N	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
E99	RECEBTO REF - SALDO INICIAL             	E	399   	   	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
P  	                                        	R	      	   	1	52764	MFR	MFR	2014-06-18 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
P01	VLR REF - COMPRA                        	P	101   	S01	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
P02	VLR REF - INTERNET                      	P	      	S02	1	37511	A00	A00	2013-09-03 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
P03	VLR REF - IMOBILIZADO                   	P	101   	S03	1	0	   	   	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	0	0	0	0	0	0	0	0	                    	                    	                    	NULL	0
