Cd_conta	Descricao	Tipo_conta	Vl_saldo	Cd_contabil_con	Dt_fluxo	Vl_dia_1	Vl_dia_2	Vl_dia_3	Vl_dia_4	Vl_dia_5	Vl_dia_6	Vl_dia_7	Vl_dia_8	Vl_dia_9	Vl_dia_10	Vl_dia_11	Vl_dia_12	Vl_dia_13	Vl_dia_14	Vl_dia_15	Vl_dia_16	Vl_dia_17	Vl_dia_18	Vl_dia_19	Vl_dia_20	Vl_dia_21	Vl_dia_22	Vl_dia_23	Vl_dia_24	Vl_dia_25	Vl_dia_26	Vl_dia_27	Vl_dia_28	Vl_dia_29	Vl_dia_30	Rateio	Prefixo_rateio	Ativo	Cd_historico	Cd_tipo_de_paga	Usuario_modific	Usuario_criacao	Sessao	Dt_modificacao	campo46	campo47	campo48	campo49	campo50	campo51	campo52	campo53	campo54	campo55	campo56	campo57	campo58	campo59	campo60	campo61	campo62	campo63	campo64	campo65	usrcont1	usrcont2	usrcont3	usrcont4	usrcont5
      	                                        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	0	   	  	   	   	43817	2014-09-25 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
10    	RECEBIMENTOS                            	T	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
1001  	ATIVIDADES OPERACIONAIS                 	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100101	Venda Produtos                          	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	0	   	  	   	   	54253	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100103	Revenda Mercadoria                      	A	0	3556    	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	0	   	  	   	   	54264	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100104	Venda de Servicos                       	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100105	Cheque a Receber Compensar              	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100106	Cheque Devolvido Receber                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100108	Recebimento Unificado                   	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
100109	Cobranca Locacao                        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	0	   	  	   	   	54320	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
